"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,1.37772764904078E-16,0,0
1,-0.141278668940956,0,0
2,-0.281999775519684,0,0
3,-0.421607957817882,0,0
4,-0.559552246120926,0,0
5,-0.695288237343634,0,0
6,-0.828280243540518,0,0
7,-0.958003406021413,0,0
8,-1.08394576672885,0,0
9,-1.20561028870275,0,0
10,-1.32251681765806,0,0
11,-1.43420397693455,0,0
12,-1.54023098833956,0,0
13,-1.64017941169819,0,0
14,-1.73365479624554,0,0
15,-1.82028823734364,0,0
16,-1.89973783237953,0,0
17,-1.97169003009869,0,0
18,-2.03586086804855,0,0
19,-2.09199709324857,0,0
20,-2.1398771616641,0,0
21,-2.1793121125394,0,0
22,-2.21014631413954,0,0
23,-2.23225807795758,0,0
24,-2.2455601389636,0,0
25,-2.25000000000002,0,0
26,-2.2455601389636,0,0
27,-2.23225807795758,0,0
28,-2.21014631413954,0,0
29,-2.1793121125394,0,0
30,-2.1398771616641,0,0
31,-2.09199709324857,0,0
32,-2.03586086804855,0,0
33,-1.97169003009869,0,0
34,-1.89973783237953,0,0
35,-1.82028823734364,0,0
36,-1.73365479624553,0,0
37,-1.64017941169819,0,0
38,-1.54023098833955,0,0
39,-1.43420397693455,0,0
40,-1.32251681765806,0,0
41,-1.20561028870274,0,0
42,-1.08394576672885,0,0
43,-0.958003406021409,0,0
44,-0.828280243540516,0,0
45,-0.695288237343632,0,0
46,-0.559552246120923,0,0
47,-0.421607957817876,0,0
48,-0.28199977551968,0,0
49,-0.14127866894095,0,0
50,3.5834845939383E-15,0,0
51,0.141278668940961,0,0
52,0.28199977551969,0,0
53,0.421607957817886,0,0
54,0.55955224612093,0,0
55,0.695288237343638,0,0
56,0.828280243540524,0,0
57,0.958003406021417,0,0
58,1.08394576672886,0,0
59,1.20561028870275,0,0
60,1.32251681765807,0,0
61,1.43420397693455,0,0
62,1.54023098833956,0,0
63,1.6401794116982,0,0
64,1.73365479624554,0,0
65,1.82028823734365,0,0
66,1.89973783237953,0,0
67,1.9716900300987,0,0
68,2.03586086804855,0,0
69,2.09199709324858,0,0
70,2.1398771616641,0,0
71,2.1793121125394,0,0
72.0000000000001,2.21014631413954,0,0
73.0000000000001,2.23225807795758,0,0
74.0000000000001,2.2455601389636,0,0
75.0000000000001,2.25000000000002,0,0
76.0000000000001,2.2455601389636,0,0
77.0000000000001,2.23225807795758,0,0
78.0000000000001,2.21014631413954,0,0
79.0000000000001,2.1793121125394,0,0
80.0000000000001,2.1398771616641,0,0
81.0000000000001,2.09199709324857,0,0
82.0000000000001,2.03586086804855,0,0
83.0000000000001,1.97169003009869,0,0
84.0000000000001,1.89973783237952,0,0
85.0000000000001,1.82028823734363,0,0
86.0000000000001,1.73365479624553,0,0
87.0000000000001,1.64017941169819,0,0
88.0000000000001,1.54023098833955,0,0
89.0000000000001,1.43420397693454,0,0
90.0000000000001,1.32251681765806,0,0
91.0000000000001,1.20561028870273,0,0
92.0000000000001,1.08394576672885,0,0
93.0000000000001,0.958003406021406,0,0
94.0000000000001,0.828280243540512,0,0
95.0000000000001,0.695288237343628,0,0
96.0000000000001,0.55955224612092,0,0
97.0000000000001,0.421607957817873,0,0
98.0000000000001,0.281999775519674,0,0
99.0000000000001,0.141278668940944,0,0
100,6.88863824520389E-16,0,0
